GROUP_NAME,TEAM_ABBREVIATION,MIN,OFF_RATING,DEF_RATING,NET_RATING,SeasonYear,PG,SG,SF,PF,C,PG_Defensive_Handoff,PG_Defensive_OffScreen,PG_Defensive_PRBallHandler,PG_Defensive_PRRollMan,PG_Defensive_Postup,PG_Defensive_Spotup,PG_Offensive_Cut,PG_Offensive_Handoff,PG_Offensive_Misc,PG_Offensive_OffScreen,PG_Offensive_PRBallHandler,PG_Offensive_PRRollMan,PG_Offensive_Postup,PG_Offensive_Spotup,SG_Defensive_Handoff,SG_Defensive_OffScreen,SG_Defensive_PRBallHandler,SG_Defensive_PRRollMan,SG_Defensive_Postup,SG_Defensive_Spotup,SG_Offensive_Cut,SG_Offensive_Handoff,SG_Offensive_Misc,SG_Offensive_OffScreen,SG_Offensive_PRBallHandler,SG_Offensive_PRRollMan,SG_Offensive_Postup,SG_Offensive_Spotup,SF_Defensive_Handoff,SF_Defensive_OffScreen,SF_Defensive_PRBallHandler,SF_Defensive_PRRollMan,SF_Defensive_Postup,SF_Defensive_Spotup,SF_Offensive_Cut,SF_Offensive_Handoff,SF_Offensive_Misc,SF_Offensive_OffScreen,SF_Offensive_PRBallHandler,SF_Offensive_PRRollMan,SF_Offensive_Postup,SF_Offensive_Spotup,PF_Defensive_Handoff,PF_Defensive_OffScreen,PF_Defensive_PRBallHandler,PF_Defensive_PRRollMan,PF_Defensive_Postup,PF_Defensive_Spotup,PF_Offensive_Cut,PF_Offensive_Handoff,PF_Offensive_Misc,PF_Offensive_OffScreen,PF_Offensive_PRBallHandler,PF_Offensive_PRRollMan,PF_Offensive_Postup,PF_Offensive_Spotup,C_Defensive_Handoff,C_Defensive_OffScreen,C_Defensive_PRBallHandler,C_Defensive_PRRollMan,C_Defensive_Postup,C_Defensive_Spotup,C_Offensive_Cut,C_Offensive_Handoff,C_Offensive_Misc,C_Offensive_OffScreen,C_Offensive_PRBallHandler,C_Offensive_PRRollMan,C_Offensive_Postup,C_Offensive_Spotup,MIN_bin
L. James - J. Smith - K. Love - K. Irving - T. Thompson,CLE,454,118.2,112.7,5.4,2016-17,K. Irving,J. Smith,L. James,K. Love,T. Thompson,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.109,0.188,0.251,0.0,0.0,0.861,0.0,0.059,0.744,0.838,0.014,0.014,0.0,0.406,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.688,0.481,0.0,0.277,0.639,0.789,0.754,0.0,0.849,0.826,0.0,0.225,0.447,0.897,0.149,0.168,0.028,0.617,0.559,0.667,0.329,0.0,0.412,0.0,0.0,0.794,0.0,0.0,"(68.0, 466.0]"
L. James - K. Love - K. Irving - T. Thompson - I. Shumpert,CLE,227,110.7,106.8,3.9,2016-17,K. Irving,I. Shumpert,L. James,K. Love,T. Thompson,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.396,0.52,0.443,0.983,0.615,0.37,0.0,0.405,0.566,0.04,0.659,0.0,0.0,0.5,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.688,0.481,0.0,0.277,0.639,0.789,0.754,0.0,0.849,0.826,0.0,0.225,0.447,0.897,0.149,0.168,0.028,0.617,0.559,0.667,0.329,0.0,0.412,0.0,0.0,0.794,0.0,0.0,"(68.0, 466.0]"
L. James - K. Love - K. Irving - T. Thompson - D. Liggins,CLE,181,129.6,98.1,31.5,2016-17,K. Irving,D. Liggins,L. James,K. Love,T. Thompson,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.559,0.046,0.109,0.0,0.0,0.443,0.034,0.0,0.678,0.0,0.087,0.0,0.0,0.206,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.688,0.481,0.0,0.277,0.639,0.789,0.754,0.0,0.849,0.826,0.0,0.225,0.447,0.897,0.149,0.168,0.028,0.617,0.559,0.667,0.329,0.0,0.412,0.0,0.0,0.794,0.0,0.0,"(68.0, 466.0]"
R. Jefferson - L. James - K. Irving - T. Thompson - I. Shumpert,CLE,131,115.6,101.5,14.1,2016-17,K. Irving,I. Shumpert,L. James,R. Jefferson,T. Thompson,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.396,0.52,0.443,0.983,0.615,0.37,0.0,0.405,0.566,0.04,0.659,0.0,0.0,0.5,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.559,0.568,0.447,0.158,0.876,0.639,0.675,0.0,0.151,0.242,0.911,0.3,0.0,0.672,0.149,0.168,0.028,0.617,0.559,0.667,0.329,0.0,0.412,0.0,0.0,0.794,0.0,0.0,"(68.0, 466.0]"
L. James - C. Frye - K. Irving - T. Thompson - I. Shumpert,CLE,105,124.0,112.4,11.7,2016-17,K. Irving,I. Shumpert,L. James,C. Frye,T. Thompson,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.396,0.52,0.443,0.983,0.615,0.37,0.0,0.405,0.566,0.04,0.659,0.0,0.0,0.5,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.0,0.0,0.0,0.134,0.509,0.185,0.914,0.0,0.276,0.593,0.0,0.708,0.737,0.959,0.149,0.168,0.028,0.617,0.559,0.667,0.329,0.0,0.412,0.0,0.0,0.794,0.0,0.0,"(68.0, 466.0]"
L. James - J. Smith - C. Frye - K. Love - K. Irving,CLE,71,124.0,91.8,32.2,2016-17,K. Irving,J. Smith,L. James,K. Love,C. Frye,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.109,0.188,0.251,0.0,0.0,0.861,0.0,0.059,0.744,0.838,0.014,0.014,0.0,0.406,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.688,0.481,0.0,0.277,0.639,0.789,0.754,0.0,0.849,0.826,0.0,0.225,0.447,0.897,0.0,0.0,0.0,0.134,0.509,0.185,0.914,0.0,0.276,0.593,0.0,0.708,0.737,0.959,"(68.0, 466.0]"
R. Jefferson - L. James - C. Frye - K. Irving - I. Shumpert,CLE,64,136.6,118.1,18.5,2016-17,K. Irving,I. Shumpert,L. James,R. Jefferson,C. Frye,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.396,0.52,0.443,0.983,0.615,0.37,0.0,0.405,0.566,0.04,0.659,0.0,0.0,0.5,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.559,0.568,0.447,0.158,0.876,0.639,0.675,0.0,0.151,0.242,0.911,0.3,0.0,0.672,0.0,0.0,0.0,0.134,0.509,0.185,0.914,0.0,0.276,0.593,0.0,0.708,0.737,0.959,"(43.0, 68.0]"
R. Jefferson - L. James - J. Smith - K. Irving - T. Thompson,CLE,45,117.5,107.4,10.1,2016-17,K. Irving,J. Smith,L. James,R. Jefferson,T. Thompson,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.109,0.188,0.251,0.0,0.0,0.861,0.0,0.059,0.744,0.838,0.014,0.014,0.0,0.406,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.559,0.568,0.447,0.158,0.876,0.639,0.675,0.0,0.151,0.242,0.911,0.3,0.0,0.672,0.149,0.168,0.028,0.617,0.559,0.667,0.329,0.0,0.412,0.0,0.0,0.794,0.0,0.0,"(43.0, 68.0]"
L. James - K. Korver - K. Love - K. Irving - T. Thompson,CLE,44,118.6,126.4,-7.8,2016-17,K. Irving,K. Korver,L. James,K. Love,T. Thompson,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.4115,0.7135,0.23399999999999999,0.0,0.375,0.3665,0.483,0.7295,0.508,0.569,0.005,0.0,0.0,0.9964999999999999,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.688,0.481,0.0,0.277,0.639,0.789,0.754,0.0,0.849,0.826,0.0,0.225,0.447,0.897,0.149,0.168,0.028,0.617,0.559,0.667,0.329,0.0,0.412,0.0,0.0,0.794,0.0,0.0,"(43.0, 68.0]"
L. James - J. Smith - K. Love - K. Irving - I. Shumpert,CLE,42,110.8,112.1,-1.3,2016-17,K. Irving,J. Smith,I. Shumpert,L. James,K. Love,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.109,0.188,0.251,0.0,0.0,0.861,0.0,0.059,0.744,0.838,0.014,0.014,0.0,0.406,0.396,0.52,0.443,0.983,0.615,0.37,0.0,0.405,0.566,0.04,0.659,0.0,0.0,0.5,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.688,0.481,0.0,0.277,0.639,0.789,0.754,0.0,0.849,0.826,0.0,0.225,0.447,0.897,"(33.0, 43.0]"
L. James - J. Smith - K. Irving - T. Thompson - I. Shumpert,CLE,40,88.0,103.3,-15.3,2016-17,K. Irving,J. Smith,I. Shumpert,L. James,T. Thompson,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.109,0.188,0.251,0.0,0.0,0.861,0.0,0.059,0.744,0.838,0.014,0.014,0.0,0.406,0.396,0.52,0.443,0.983,0.615,0.37,0.0,0.405,0.566,0.04,0.659,0.0,0.0,0.5,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.149,0.168,0.028,0.617,0.559,0.667,0.329,0.0,0.412,0.0,0.0,0.794,0.0,0.0,"(33.0, 43.0]"
R. Jefferson - L. James - K. Korver - C. Frye - K. Felder,CLE,40,97.8,109.1,-11.3,2016-17,K. Felder,K. Korver,L. James,R. Jefferson,C. Frye,,,,,,,,,,,,,,,0.4115,0.7135,0.23399999999999999,0.0,0.375,0.3665,0.483,0.7295,0.508,0.569,0.005,0.0,0.0,0.9964999999999999,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.559,0.568,0.447,0.158,0.876,0.639,0.675,0.0,0.151,0.242,0.911,0.3,0.0,0.672,0.0,0.0,0.0,0.134,0.509,0.185,0.914,0.0,0.276,0.593,0.0,0.708,0.737,0.959,"(33.0, 43.0]"
R. Jefferson - L. James - K. Korver - C. Frye - D. Williams,CLE,39,127.4,91.9,35.5,2016-17,D. Williams,K. Korver,L. James,R. Jefferson,C. Frye,0.599,0.7345,0.6645,0.0,0.4605,0.671,0.1065,0.323,0.1105,0.3575,0.7075,0.0,0.434,0.696,0.4115,0.7135,0.23399999999999999,0.0,0.375,0.3665,0.483,0.7295,0.508,0.569,0.005,0.0,0.0,0.9964999999999999,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.559,0.568,0.447,0.158,0.876,0.639,0.675,0.0,0.151,0.242,0.911,0.3,0.0,0.672,0.0,0.0,0.0,0.134,0.509,0.185,0.914,0.0,0.276,0.593,0.0,0.708,0.737,0.959,"(33.0, 43.0]"
L. James - K. Love - T. Thompson - D. Liggins - J. McRae,CLE,37,109.9,108.3,1.5,2016-17,J. McRae,D. Liggins,L. James,K. Love,T. Thompson,0.011,0.014,0.401,0.0,0.0,0.161,0.0,0.0,0.0,0.492,0.07,0.0,0.0,0.927,0.559,0.046,0.109,0.0,0.0,0.443,0.034,0.0,0.678,0.0,0.087,0.0,0.0,0.206,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.688,0.481,0.0,0.277,0.639,0.789,0.754,0.0,0.849,0.826,0.0,0.225,0.447,0.897,0.149,0.168,0.028,0.617,0.559,0.667,0.329,0.0,0.412,0.0,0.0,0.794,0.0,0.0,"(33.0, 43.0]"
L. James - C. Frye - K. Love - K. Irving - I. Shumpert,CLE,36,120.5,147.0,-26.4,2016-17,K. Irving,I. Shumpert,L. James,K. Love,C. Frye,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.396,0.52,0.443,0.983,0.615,0.37,0.0,0.405,0.566,0.04,0.659,0.0,0.0,0.5,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.688,0.481,0.0,0.277,0.639,0.789,0.754,0.0,0.849,0.826,0.0,0.225,0.447,0.897,0.0,0.0,0.0,0.134,0.509,0.185,0.914,0.0,0.276,0.593,0.0,0.708,0.737,0.959,"(33.0, 43.0]"
R. Jefferson - L. James - K. Korver - C. Frye - D. Liggins,CLE,34,95.7,136.8,-41.1,2016-17,D. Liggins,K. Korver,L. James,R. Jefferson,C. Frye,0.559,0.046,0.109,0.0,0.0,0.443,0.034,0.0,0.678,0.0,0.087,0.0,0.0,0.206,0.4115,0.7135,0.23399999999999999,0.0,0.375,0.3665,0.483,0.7295,0.508,0.569,0.005,0.0,0.0,0.9964999999999999,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.559,0.568,0.447,0.158,0.876,0.639,0.675,0.0,0.151,0.242,0.911,0.3,0.0,0.672,0.0,0.0,0.0,0.134,0.509,0.185,0.914,0.0,0.276,0.593,0.0,0.708,0.737,0.959,"(33.0, 43.0]"
R. Jefferson - L. James - K. Love - K. Irving - T. Thompson,CLE,33,111.4,110.0,1.4,2016-17,K. Irving,R. Jefferson,L. James,K. Love,T. Thompson,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.559,0.568,0.447,0.158,0.876,0.639,0.675,0.0,0.151,0.242,0.911,0.3,0.0,0.672,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.688,0.481,0.0,0.277,0.639,0.789,0.754,0.0,0.849,0.826,0.0,0.225,0.447,0.897,0.149,0.168,0.028,0.617,0.559,0.667,0.329,0.0,0.412,0.0,0.0,0.794,0.0,0.0,"(26.0, 33.0]"
R. Jefferson - L. James - K. Korver - D. Williams - I. Shumpert,CLE,29,114.5,114.5,0.0,2016-17,D. Williams,K. Korver,I. Shumpert,L. James,R. Jefferson,0.599,0.7345,0.6645,0.0,0.4605,0.671,0.1065,0.323,0.1105,0.3575,0.7075,0.0,0.434,0.696,0.4115,0.7135,0.23399999999999999,0.0,0.375,0.3665,0.483,0.7295,0.508,0.569,0.005,0.0,0.0,0.9964999999999999,0.396,0.52,0.443,0.983,0.615,0.37,0.0,0.405,0.566,0.04,0.659,0.0,0.0,0.5,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.559,0.568,0.447,0.158,0.876,0.639,0.675,0.0,0.151,0.242,0.911,0.3,0.0,0.672,"(26.0, 33.0]"
L. James - K. Korver - K. Irving - T. Thompson - I. Shumpert,CLE,27,108.5,120.0,-11.5,2016-17,K. Irving,K. Korver,I. Shumpert,L. James,T. Thompson,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.4115,0.7135,0.23399999999999999,0.0,0.375,0.3665,0.483,0.7295,0.508,0.569,0.005,0.0,0.0,0.9964999999999999,0.396,0.52,0.443,0.983,0.615,0.37,0.0,0.405,0.566,0.04,0.659,0.0,0.0,0.5,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.149,0.168,0.028,0.617,0.559,0.667,0.329,0.0,0.412,0.0,0.0,0.794,0.0,0.0,"(26.0, 33.0]"
R. Jefferson - L. James - C. Frye - I. Shumpert - J. McRae,CLE,27,111.8,115.7,-3.9,2016-17,J. McRae,I. Shumpert,L. James,R. Jefferson,C. Frye,0.011,0.014,0.401,0.0,0.0,0.161,0.0,0.0,0.0,0.492,0.07,0.0,0.0,0.927,0.396,0.52,0.443,0.983,0.615,0.37,0.0,0.405,0.566,0.04,0.659,0.0,0.0,0.5,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.559,0.568,0.447,0.158,0.876,0.639,0.675,0.0,0.151,0.242,0.911,0.3,0.0,0.672,0.0,0.0,0.0,0.134,0.509,0.185,0.914,0.0,0.276,0.593,0.0,0.708,0.737,0.959,"(26.0, 33.0]"
L. James - J. Smith - C. Frye - K. Irving - T. Thompson,CLE,26,105.7,113.2,-7.5,2016-17,K. Irving,J. Smith,L. James,C. Frye,T. Thompson,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.109,0.188,0.251,0.0,0.0,0.861,0.0,0.059,0.744,0.838,0.014,0.014,0.0,0.406,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.0,0.0,0.0,0.134,0.509,0.185,0.914,0.0,0.276,0.593,0.0,0.708,0.737,0.959,0.149,0.168,0.028,0.617,0.559,0.667,0.329,0.0,0.412,0.0,0.0,0.794,0.0,0.0,"(23.0, 26.0]"
L. James - K. Korver - J. Smith - K. Love - K. Irving,CLE,25,101.8,103.9,-2.1,2016-17,K. Irving,K. Korver,J. Smith,L. James,K. Love,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.4115,0.7135,0.23399999999999999,0.0,0.375,0.3665,0.483,0.7295,0.508,0.569,0.005,0.0,0.0,0.9964999999999999,0.109,0.188,0.251,0.0,0.0,0.861,0.0,0.059,0.744,0.838,0.014,0.014,0.0,0.406,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.688,0.481,0.0,0.277,0.639,0.789,0.754,0.0,0.849,0.826,0.0,0.225,0.447,0.897,"(23.0, 26.0]"
R. Jefferson - L. James - J. Smith - C. Frye - D. Williams,CLE,25,94.0,96.0,-2.0,2016-17,D. Williams,J. Smith,L. James,R. Jefferson,C. Frye,0.599,0.7345,0.6645,0.0,0.4605,0.671,0.1065,0.323,0.1105,0.3575,0.7075,0.0,0.434,0.696,0.109,0.188,0.251,0.0,0.0,0.861,0.0,0.059,0.744,0.838,0.014,0.014,0.0,0.406,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.559,0.568,0.447,0.158,0.876,0.639,0.675,0.0,0.151,0.242,0.911,0.3,0.0,0.672,0.0,0.0,0.0,0.134,0.509,0.185,0.914,0.0,0.276,0.593,0.0,0.708,0.737,0.959,"(23.0, 26.0]"
R. Jefferson - M. Dunleavy - L. James - C. Frye - I. Shumpert,CLE,25,130.4,92.9,37.5,2016-17,I. Shumpert,M. Dunleavy,L. James,R. Jefferson,C. Frye,0.396,0.52,0.443,0.983,0.615,0.37,0.0,0.405,0.566,0.04,0.659,0.0,0.0,0.5,0.17250000000000001,0.133,0.982,0.0,0.0,0.6034999999999999,0.4745,0.0825,0.0,0.8125,0.0,0.0,0.0,0.525,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.559,0.568,0.447,0.158,0.876,0.639,0.675,0.0,0.151,0.242,0.911,0.3,0.0,0.672,0.0,0.0,0.0,0.134,0.509,0.185,0.914,0.0,0.276,0.593,0.0,0.708,0.737,0.959,"(23.0, 26.0]"
L. James - J. Jones - K. Irving - T. Thompson - I. Shumpert,CLE,24,104.0,108.2,-4.2,2016-17,K. Irving,I. Shumpert,J. Jones,L. James,T. Thompson,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.396,0.52,0.443,0.983,0.615,0.37,0.0,0.405,0.566,0.04,0.659,0.0,0.0,0.5,,,,,,,,,,,,,,,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.149,0.168,0.028,0.617,0.559,0.667,0.329,0.0,0.412,0.0,0.0,0.794,0.0,0.0,"(23.0, 26.0]"
L. James - K. Love - K. Irving - T. Thompson - J. McRae,CLE,23,106.3,102.0,4.2,2016-17,K. Irving,J. McRae,L. James,K. Love,T. Thompson,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.011,0.014,0.401,0.0,0.0,0.161,0.0,0.0,0.0,0.492,0.07,0.0,0.0,0.927,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.688,0.481,0.0,0.277,0.639,0.789,0.754,0.0,0.849,0.826,0.0,0.225,0.447,0.897,0.149,0.168,0.028,0.617,0.559,0.667,0.329,0.0,0.412,0.0,0.0,0.794,0.0,0.0,"(19.0, 23.0]"
R. Jefferson - L. James - C. Frye - I. Shumpert - K. Felder,CLE,23,104.5,97.9,6.7,2016-17,K. Felder,I. Shumpert,L. James,R. Jefferson,C. Frye,,,,,,,,,,,,,,,0.396,0.52,0.443,0.983,0.615,0.37,0.0,0.405,0.566,0.04,0.659,0.0,0.0,0.5,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.559,0.568,0.447,0.158,0.876,0.639,0.675,0.0,0.151,0.242,0.911,0.3,0.0,0.672,0.0,0.0,0.0,0.134,0.509,0.185,0.914,0.0,0.276,0.593,0.0,0.708,0.737,0.959,"(19.0, 23.0]"
M. Dunleavy - L. James - C. Frye - I. Shumpert - J. McRae,CLE,22,111.4,130.2,-18.9,2016-17,J. McRae,M. Dunleavy,I. Shumpert,L. James,C. Frye,0.011,0.014,0.401,0.0,0.0,0.161,0.0,0.0,0.0,0.492,0.07,0.0,0.0,0.927,0.17250000000000001,0.133,0.982,0.0,0.0,0.6034999999999999,0.4745,0.0825,0.0,0.8125,0.0,0.0,0.0,0.525,0.396,0.52,0.443,0.983,0.615,0.37,0.0,0.405,0.566,0.04,0.659,0.0,0.0,0.5,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.0,0.0,0.0,0.134,0.509,0.185,0.914,0.0,0.276,0.593,0.0,0.708,0.737,0.959,"(19.0, 23.0]"
R. Jefferson - L. James - K. Irving - T. Thompson - D. Liggins,CLE,22,133.3,97.6,35.7,2016-17,K. Irving,D. Liggins,L. James,R. Jefferson,T. Thompson,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.559,0.046,0.109,0.0,0.0,0.443,0.034,0.0,0.678,0.0,0.087,0.0,0.0,0.206,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.559,0.568,0.447,0.158,0.876,0.639,0.675,0.0,0.151,0.242,0.911,0.3,0.0,0.672,0.149,0.168,0.028,0.617,0.559,0.667,0.329,0.0,0.412,0.0,0.0,0.794,0.0,0.0,"(19.0, 23.0]"
L. James - K. Korver - K. Irving - D. Williams - T. Thompson,CLE,21,124.4,116.7,7.7,2016-17,K. Irving,D. Williams,K. Korver,L. James,T. Thompson,0.144,0.893,0.187,0.196,0.62,0.183,0.96,0.733,0.701,0.85,0.829,0.069,0.784,0.846,0.599,0.7345,0.6645,0.0,0.4605,0.671,0.1065,0.323,0.1105,0.3575,0.7075,0.0,0.434,0.696,0.4115,0.7135,0.23399999999999999,0.0,0.375,0.3665,0.483,0.7295,0.508,0.569,0.005,0.0,0.0,0.9964999999999999,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.149,0.168,0.028,0.617,0.559,0.667,0.329,0.0,0.412,0.0,0.0,0.794,0.0,0.0,"(19.0, 23.0]"
L. James - J. Smith - K. Love - T. Thompson - D. Liggins,CLE,19,92.5,75.0,17.5,2016-17,D. Liggins,J. Smith,L. James,K. Love,T. Thompson,0.559,0.046,0.109,0.0,0.0,0.443,0.034,0.0,0.678,0.0,0.087,0.0,0.0,0.206,0.109,0.188,0.251,0.0,0.0,0.861,0.0,0.059,0.744,0.838,0.014,0.014,0.0,0.406,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.688,0.481,0.0,0.277,0.639,0.789,0.754,0.0,0.849,0.826,0.0,0.225,0.447,0.897,0.149,0.168,0.028,0.617,0.559,0.667,0.329,0.0,0.412,0.0,0.0,0.794,0.0,0.0,"(16.0, 19.0]"
R. Jefferson - L. James - C. Frye - D. Williams - I. Shumpert,CLE,19,100.0,117.5,-17.5,2016-17,D. Williams,I. Shumpert,L. James,R. Jefferson,C. Frye,0.599,0.7345,0.6645,0.0,0.4605,0.671,0.1065,0.323,0.1105,0.3575,0.7075,0.0,0.434,0.696,0.396,0.52,0.443,0.983,0.615,0.37,0.0,0.405,0.566,0.04,0.659,0.0,0.0,0.5,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.559,0.568,0.447,0.158,0.876,0.639,0.675,0.0,0.151,0.242,0.911,0.3,0.0,0.672,0.0,0.0,0.0,0.134,0.509,0.185,0.914,0.0,0.276,0.593,0.0,0.708,0.737,0.959,"(16.0, 19.0]"
R. Jefferson - L. James - K. Korver - C. Frye - D. Williams,CLE,19,112.2,117.1,-4.9,2016-17,D. Williams,K. Korver,L. James,R. Jefferson,C. Frye,0.599,0.7345,0.6645,0.0,0.4605,0.671,0.1065,0.323,0.1105,0.3575,0.7075,0.0,0.434,0.696,0.4115,0.7135,0.23399999999999999,0.0,0.375,0.3665,0.483,0.7295,0.508,0.569,0.005,0.0,0.0,0.9964999999999999,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.559,0.568,0.447,0.158,0.876,0.639,0.675,0.0,0.151,0.242,0.911,0.3,0.0,0.672,0.0,0.0,0.0,0.134,0.509,0.185,0.914,0.0,0.276,0.593,0.0,0.708,0.737,0.959,"(16.0, 19.0]"
R. Jefferson - L. James - K. Korver - D. Williams - D. Williams,CLE,19,125.0,105.4,19.6,2016-17,D. Williams,K. Korver,L. James,R. Jefferson,D. Williams,0.599,0.7345,0.6645,0.0,0.4605,0.671,0.1065,0.323,0.1105,0.3575,0.7075,0.0,0.434,0.696,0.4115,0.7135,0.23399999999999999,0.0,0.375,0.3665,0.483,0.7295,0.508,0.569,0.005,0.0,0.0,0.9964999999999999,0.263,0.725,0.662,0.764,0.839,0.928,0.937,0.296,0.396,0.198,0.84,0.963,0.716,0.656,0.559,0.568,0.447,0.158,0.876,0.639,0.675,0.0,0.151,0.242,0.911,0.3,0.0,0.672,0.599,0.7345,0.6645,0.0,0.4605,0.671,0.1065,0.323,0.1105,0.3575,0.7075,0.0,0.434,0.696,"(16.0, 19.0]"
