GROUP_NAME,TEAM_ABBREVIATION,MIN,OFF_RATING,DEF_RATING,NET_RATING,SeasonYear,PG,SG,SF,PF,C,PG_Defensive_Handoff,PG_Defensive_OffScreen,PG_Defensive_PRBallHandler,PG_Defensive_PRRollMan,PG_Defensive_Postup,PG_Defensive_Spotup,PG_Offensive_Cut,PG_Offensive_Handoff,PG_Offensive_Misc,PG_Offensive_OffScreen,PG_Offensive_PRBallHandler,PG_Offensive_PRRollMan,PG_Offensive_Postup,PG_Offensive_Spotup,SG_Defensive_Handoff,SG_Defensive_OffScreen,SG_Defensive_PRBallHandler,SG_Defensive_PRRollMan,SG_Defensive_Postup,SG_Defensive_Spotup,SG_Offensive_Cut,SG_Offensive_Handoff,SG_Offensive_Misc,SG_Offensive_OffScreen,SG_Offensive_PRBallHandler,SG_Offensive_PRRollMan,SG_Offensive_Postup,SG_Offensive_Spotup,SF_Defensive_Handoff,SF_Defensive_OffScreen,SF_Defensive_PRBallHandler,SF_Defensive_PRRollMan,SF_Defensive_Postup,SF_Defensive_Spotup,SF_Offensive_Cut,SF_Offensive_Handoff,SF_Offensive_Misc,SF_Offensive_OffScreen,SF_Offensive_PRBallHandler,SF_Offensive_PRRollMan,SF_Offensive_Postup,SF_Offensive_Spotup,PF_Defensive_Handoff,PF_Defensive_OffScreen,PF_Defensive_PRBallHandler,PF_Defensive_PRRollMan,PF_Defensive_Postup,PF_Defensive_Spotup,PF_Offensive_Cut,PF_Offensive_Handoff,PF_Offensive_Misc,PF_Offensive_OffScreen,PF_Offensive_PRBallHandler,PF_Offensive_PRRollMan,PF_Offensive_Postup,PF_Offensive_Spotup,C_Defensive_Handoff,C_Defensive_OffScreen,C_Defensive_PRBallHandler,C_Defensive_PRRollMan,C_Defensive_Postup,C_Defensive_Spotup,C_Offensive_Cut,C_Offensive_Handoff,C_Offensive_Misc,C_Offensive_OffScreen,C_Offensive_PRBallHandler,C_Offensive_PRRollMan,C_Offensive_Postup,C_Offensive_Spotup
J. Barea - D. Jordan - H. Barnes - D. Finney-Smith - L. Doncic,DAL,48,124.5,105.0,19.5,2018-19,L. Dončić,J. Barea,D. Finney-Smith,H. Barnes,D. Jordan,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.746,0.232,0.762,0.0,0.925,0.401,0.0,0.158,0.086,0.091,0.766,0.0,0.0,0.079,0.321,0.813,0.708,0.23,0.284,0.591,0.419,0.465,0.216,0.504,0.082,0.734,0.0,0.352,0.7515000000000001,0.4025,0.5525,0.2345,0.7825,0.226,0.068,0.2095,0.569,0.47200000000000003,0.3075,0.44,0.4975,0.8575,0.0,0.2345,0.012,0.312,0.687,0.872,0.39449999999999996,0.0,0.1475,0.0,0.0,0.9255,0.47600000000000003,0.0
D. Powell - J. Jackson - M. Kleber - J. Brunson - L. Doncic,DAL,41,111.9,125.0,-13.1,2018-19,L. Dončić,J. Brunson,J. Jackson,M. Kleber,D. Powell,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.651,0.544,0.38,0.0,0.11,0.318,0.612,0.822,0.449,0.685,0.72,0.0,0.677,0.709,0.873,0.325,0.488,0.967,0.469,0.243,0.853,0.476,0.594,0.366,0.407,0.0,0.488,0.186,0.174,0.989,0.099,0.31,0.565,0.788,0.849,0.0,0.404,0.724,0.0,0.273,0.613,0.699,0.971,0.208,0.495,0.601,0.429,0.266,0.922,0.0,0.852,0.631,0.0,0.903,0.227,0.576
J. Barea - D. Jordan - W. Matthews - H. Barnes - L. Doncic,DAL,41,121.1,100.0,21.1,2018-19,L. Dončić,J. Barea,W. Matthews,H. Barnes,D. Jordan,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.746,0.232,0.762,0.0,0.925,0.401,0.0,0.158,0.086,0.091,0.766,0.0,0.0,0.079,0.336,0.22549999999999998,0.44,0.0,0.1375,0.49,0.267,0.3045,0.741,0.5,0.099,0.0,0.3085,0.8035,0.7515000000000001,0.4025,0.5525,0.2345,0.7825,0.226,0.068,0.2095,0.569,0.47200000000000003,0.3075,0.44,0.4975,0.8575,0.0,0.2345,0.012,0.312,0.687,0.872,0.39449999999999996,0.0,0.1475,0.0,0.0,0.9255,0.47600000000000003,0.0
D. Nowitzki - D. Powell - J. Jackson - J. Brunson - L. Doncic,DAL,40,106.0,116.9,-10.9,2018-19,L. Dončić,J. Brunson,J. Jackson,D. Nowitzki,D. Powell,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.651,0.544,0.38,0.0,0.11,0.318,0.612,0.822,0.449,0.685,0.72,0.0,0.677,0.709,0.873,0.325,0.488,0.967,0.469,0.243,0.853,0.476,0.594,0.366,0.407,0.0,0.488,0.186,0.0,0.0,0.0,0.343,0.565,0.32,0.0,0.0,0.529,0.207,0.0,0.181,0.309,0.64,0.971,0.208,0.495,0.601,0.429,0.266,0.922,0.0,0.852,0.631,0.0,0.903,0.227,0.576
D. Powell - D. Finney-Smith - M. Kleber - J. Brunson - L. Doncic,DAL,32,117.5,126.6,-9.1,2018-19,L. Dončić,J. Brunson,D. Finney-Smith,M. Kleber,D. Powell,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.651,0.544,0.38,0.0,0.11,0.318,0.612,0.822,0.449,0.685,0.72,0.0,0.677,0.709,0.321,0.813,0.708,0.23,0.284,0.591,0.419,0.465,0.216,0.504,0.082,0.734,0.0,0.352,0.174,0.989,0.099,0.31,0.565,0.788,0.849,0.0,0.404,0.724,0.0,0.273,0.613,0.699,0.971,0.208,0.495,0.601,0.429,0.266,0.922,0.0,0.852,0.631,0.0,0.903,0.227,0.576
H. Barnes - D. Finney-Smith - M. Kleber - J. Brunson - L. Doncic,DAL,32,98.6,88.9,9.7,2018-19,L. Dončić,J. Brunson,D. Finney-Smith,H. Barnes,M. Kleber,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.651,0.544,0.38,0.0,0.11,0.318,0.612,0.822,0.449,0.685,0.72,0.0,0.677,0.709,0.321,0.813,0.708,0.23,0.284,0.591,0.419,0.465,0.216,0.504,0.082,0.734,0.0,0.352,0.7515000000000001,0.4025,0.5525,0.2345,0.7825,0.226,0.068,0.2095,0.569,0.47200000000000003,0.3075,0.44,0.4975,0.8575,0.174,0.989,0.099,0.31,0.565,0.788,0.849,0.0,0.404,0.724,0.0,0.273,0.613,0.699
D. Jordan - H. Barnes - D. Finney-Smith - J. Brunson - L. Doncic,DAL,29,101.6,108.3,-6.7,2018-19,L. Dončić,J. Brunson,D. Finney-Smith,H. Barnes,D. Jordan,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.651,0.544,0.38,0.0,0.11,0.318,0.612,0.822,0.449,0.685,0.72,0.0,0.677,0.709,0.321,0.813,0.708,0.23,0.284,0.591,0.419,0.465,0.216,0.504,0.082,0.734,0.0,0.352,0.7515000000000001,0.4025,0.5525,0.2345,0.7825,0.226,0.068,0.2095,0.569,0.47200000000000003,0.3075,0.44,0.4975,0.8575,0.0,0.2345,0.012,0.312,0.687,0.872,0.39449999999999996,0.0,0.1475,0.0,0.0,0.9255,0.47600000000000003,0.0
D. Nowitzki - D. Harris - D. Powell - J. Jackson - L. Doncic,DAL,29,117.2,106.8,10.5,2018-19,L. Dončić,D. Harris,J. Jackson,D. Nowitzki,D. Powell,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.526,0.559,0.219,0.0,0.965,0.624,0.41,0.045,0.629,0.741,0.327,0.0,0.0,0.626,0.873,0.325,0.488,0.967,0.469,0.243,0.853,0.476,0.594,0.366,0.407,0.0,0.488,0.186,0.0,0.0,0.0,0.343,0.565,0.32,0.0,0.0,0.529,0.207,0.0,0.181,0.309,0.64,0.971,0.208,0.495,0.601,0.429,0.266,0.922,0.0,0.852,0.631,0.0,0.903,0.227,0.576
T. Hardaway Jr. - D. Powell - M. Kleber - J. Brunson - L. Doncic,DAL,29,119.7,74.2,45.5,2018-19,L. Dončić,J. Brunson,T. Hardaway Jr.,M. Kleber,D. Powell,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.651,0.544,0.38,0.0,0.11,0.318,0.612,0.822,0.449,0.685,0.72,0.0,0.677,0.709,0.3245,0.42800000000000005,0.4135,0.0,0.3055,0.562,0.469,0.5509999999999999,0.4885,0.381,0.7965,0.0,0.9435,0.3625,0.174,0.989,0.099,0.31,0.565,0.788,0.849,0.0,0.404,0.724,0.0,0.273,0.613,0.699,0.971,0.208,0.495,0.601,0.429,0.266,0.922,0.0,0.852,0.631,0.0,0.903,0.227,0.576
D. Nowitzki - D. Harris - D. Powell - D. Finney-Smith - L. Doncic,DAL,27,86.4,114.0,-27.6,2018-19,L. Dončić,D. Harris,D. Finney-Smith,D. Nowitzki,D. Powell,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.526,0.559,0.219,0.0,0.965,0.624,0.41,0.045,0.629,0.741,0.327,0.0,0.0,0.626,0.321,0.813,0.708,0.23,0.284,0.591,0.419,0.465,0.216,0.504,0.082,0.734,0.0,0.352,0.0,0.0,0.0,0.343,0.565,0.32,0.0,0.0,0.529,0.207,0.0,0.181,0.309,0.64,0.971,0.208,0.495,0.601,0.429,0.266,0.922,0.0,0.852,0.631,0.0,0.903,0.227,0.576
D. Harris - D. Powell - D. Finney-Smith - M. Kleber - L. Doncic,DAL,23,119.1,123.9,-4.8,2018-19,L. Dončić,D. Harris,D. Finney-Smith,M. Kleber,D. Powell,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.526,0.559,0.219,0.0,0.965,0.624,0.41,0.045,0.629,0.741,0.327,0.0,0.0,0.626,0.321,0.813,0.708,0.23,0.284,0.591,0.419,0.465,0.216,0.504,0.082,0.734,0.0,0.352,0.174,0.989,0.099,0.31,0.565,0.788,0.849,0.0,0.404,0.724,0.0,0.273,0.613,0.699,0.971,0.208,0.495,0.601,0.429,0.266,0.922,0.0,0.852,0.631,0.0,0.903,0.227,0.576
D. Nowitzki - D. Powell - D. Finney-Smith - J. Brunson - L. Doncic,DAL,23,114.0,100.0,14.0,2018-19,L. Dončić,J. Brunson,D. Finney-Smith,D. Nowitzki,D. Powell,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.651,0.544,0.38,0.0,0.11,0.318,0.612,0.822,0.449,0.685,0.72,0.0,0.677,0.709,0.321,0.813,0.708,0.23,0.284,0.591,0.419,0.465,0.216,0.504,0.082,0.734,0.0,0.352,0.0,0.0,0.0,0.343,0.565,0.32,0.0,0.0,0.529,0.207,0.0,0.181,0.309,0.64,0.971,0.208,0.495,0.601,0.429,0.266,0.922,0.0,0.852,0.631,0.0,0.903,0.227,0.576
D. Jordan - H. Barnes - M. Kleber - J. Brunson - L. Doncic,DAL,19,115.0,143.9,-28.9,2018-19,L. Dončić,J. Brunson,H. Barnes,M. Kleber,D. Jordan,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.651,0.544,0.38,0.0,0.11,0.318,0.612,0.822,0.449,0.685,0.72,0.0,0.677,0.709,0.7515000000000001,0.4025,0.5525,0.2345,0.7825,0.226,0.068,0.2095,0.569,0.47200000000000003,0.3075,0.44,0.4975,0.8575,0.174,0.989,0.099,0.31,0.565,0.788,0.849,0.0,0.404,0.724,0.0,0.273,0.613,0.699,0.0,0.2345,0.012,0.312,0.687,0.872,0.39449999999999996,0.0,0.1475,0.0,0.0,0.9255,0.47600000000000003,0.0
J. Barea - D. Jordan - W. Matthews - D. Finney-Smith - L. Doncic,DAL,19,91.3,85.4,5.9,2018-19,L. Dončić,J. Barea,W. Matthews,D. Finney-Smith,D. Jordan,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.746,0.232,0.762,0.0,0.925,0.401,0.0,0.158,0.086,0.091,0.766,0.0,0.0,0.079,0.336,0.22549999999999998,0.44,0.0,0.1375,0.49,0.267,0.3045,0.741,0.5,0.099,0.0,0.3085,0.8035,0.321,0.813,0.708,0.23,0.284,0.591,0.419,0.465,0.216,0.504,0.082,0.734,0.0,0.352,0.0,0.2345,0.012,0.312,0.687,0.872,0.39449999999999996,0.0,0.1475,0.0,0.0,0.9255,0.47600000000000003,0.0
D. Nowitzki - D. Harris - D. Finney-Smith - M. Kleber - L. Doncic,DAL,18,92.5,87.2,5.3,2018-19,L. Dončić,D. Harris,D. Finney-Smith,M. Kleber,D. Nowitzki,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.526,0.559,0.219,0.0,0.965,0.624,0.41,0.045,0.629,0.741,0.327,0.0,0.0,0.626,0.321,0.813,0.708,0.23,0.284,0.591,0.419,0.465,0.216,0.504,0.082,0.734,0.0,0.352,0.174,0.989,0.099,0.31,0.565,0.788,0.849,0.0,0.404,0.724,0.0,0.273,0.613,0.699,0.0,0.0,0.0,0.343,0.565,0.32,0.0,0.0,0.529,0.207,0.0,0.181,0.309,0.64
D. Nowitzki - D. Harris - T. Hardaway Jr. - D. Powell - L. Doncic,DAL,17,111.4,97.1,14.3,2018-19,L. Dončić,D. Harris,T. Hardaway Jr.,D. Nowitzki,D. Powell,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.526,0.559,0.219,0.0,0.965,0.624,0.41,0.045,0.629,0.741,0.327,0.0,0.0,0.626,0.3245,0.42800000000000005,0.4135,0.0,0.3055,0.562,0.469,0.5509999999999999,0.4885,0.381,0.7965,0.0,0.9435,0.3625,0.0,0.0,0.0,0.343,0.565,0.32,0.0,0.0,0.529,0.207,0.0,0.181,0.309,0.64,0.971,0.208,0.495,0.601,0.429,0.266,0.922,0.0,0.852,0.631,0.0,0.903,0.227,0.576
D. Nowitzki - T. Hardaway Jr. - D. Powell - D. Finney-Smith - L. Doncic,DAL,15,103.3,93.5,9.8,2018-19,L. Dončić,T. Hardaway Jr.,D. Finney-Smith,D. Nowitzki,D. Powell,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.3245,0.42800000000000005,0.4135,0.0,0.3055,0.562,0.469,0.5509999999999999,0.4885,0.381,0.7965,0.0,0.9435,0.3625,0.321,0.813,0.708,0.23,0.284,0.591,0.419,0.465,0.216,0.504,0.082,0.734,0.0,0.352,0.0,0.0,0.0,0.343,0.565,0.32,0.0,0.0,0.529,0.207,0.0,0.181,0.309,0.64,0.971,0.208,0.495,0.601,0.429,0.266,0.922,0.0,0.852,0.631,0.0,0.903,0.227,0.576
D. Finney-Smith - J. Jackson - M. Kleber - J. Brunson - L. Doncic,DAL,14,112.9,109.1,3.8,2018-19,L. Dončić,J. Brunson,J. Jackson,D. Finney-Smith,M. Kleber,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.651,0.544,0.38,0.0,0.11,0.318,0.612,0.822,0.449,0.685,0.72,0.0,0.677,0.709,0.873,0.325,0.488,0.967,0.469,0.243,0.853,0.476,0.594,0.366,0.407,0.0,0.488,0.186,0.321,0.813,0.708,0.23,0.284,0.591,0.419,0.465,0.216,0.504,0.082,0.734,0.0,0.352,0.174,0.989,0.099,0.31,0.565,0.788,0.849,0.0,0.404,0.724,0.0,0.273,0.613,0.699
S. Mejri - J. Jackson - M. Kleber - J. Brunson - L. Doncic,DAL,13,58.6,100.0,-41.4,2018-19,L. Dončić,J. Brunson,J. Jackson,M. Kleber,S. Mejri,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.651,0.544,0.38,0.0,0.11,0.318,0.612,0.822,0.449,0.685,0.72,0.0,0.677,0.709,0.873,0.325,0.488,0.967,0.469,0.243,0.853,0.476,0.594,0.366,0.407,0.0,0.488,0.186,0.174,0.989,0.099,0.31,0.565,0.788,0.849,0.0,0.404,0.724,0.0,0.273,0.613,0.699,0.0,0.0,0.0,0.838,0.055,0.166,0.134,0.0,0.078,0.0,0.0,0.6,0.0,0.716
D. Finney-Smith - M. Kleber - J. Brunson - L. Doncic - R. Broekhoff,DAL,12,152.0,108.0,44.0,2018-19,L. Dončić,J. Brunson,R. Broekhoff,D. Finney-Smith,M. Kleber,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.651,0.544,0.38,0.0,0.11,0.318,0.612,0.822,0.449,0.685,0.72,0.0,0.677,0.709,0.0,0.712,0.345,0.0,0.0,0.855,0.984,0.0,0.0,0.749,0.0,0.0,0.0,0.945,0.321,0.813,0.708,0.23,0.284,0.591,0.419,0.465,0.216,0.504,0.082,0.734,0.0,0.352,0.174,0.989,0.099,0.31,0.565,0.788,0.849,0.0,0.404,0.724,0.0,0.273,0.613,0.699
