PLAYER_NAME,Player_Abbrev,SeasonYear,Defensive_Handoff,Defensive_OffScreen,Defensive_PRBallHandler,Defensive_PRRollMan,Defensive_Postup,Defensive_Spotup,Offensive_Cut,Offensive_Handoff,Offensive_Misc,Offensive_OffScreen,Offensive_PRBallHandler,Offensive_PRRollMan,Offensive_Postup,Offensive_Spotup
Adam Mokoka,A. Mokoka,2019-20,0.0,0.0,0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186
Adem Bona,A. Bona,2024-25,0.0,0.0,0.709,0.744,0.0,0.061,0.626,0.0,0.356,0.0,0.0,0.417,0.0,0.0
Admiral Schofield,A. Schofield,2019-20,0.0,0.0,0.182,0.0,0.067,0.965,0.0,0.0,0.0,0.0,0.0,0.622,0.0,0.15
Admiral Schofield,A. Schofield,2021-22,0.0,0.0,0.471,0.0,0.167,0.757,0.932,0.972,0.0,0.0,0.0,0.035,0.0,0.351
Admiral Schofield,A. Schofield,2022-23,0.0,0.21,0.802,0.0,0.0,0.098,0.292,0.0,0.952,0.0,0.0,0.742,0.0,0.505
Ajay Mitchell,A. Mitchell,2024-25,0.477,0.0,0.736,0.0,0.0,0.54,0.915,0.054,0.0,0.0,0.759,0.0,0.0,0.701
Al Horford,A. Horford,2015-16,0.0,0.923,0.0,0.281,0.653,0.638,0.467,0.0,0.489,0.447,0.0,0.785,0.653,0.473
Al Horford,A. Horford,2016-17,0.951,0.081,0.805,0.553,0.942,0.7,0.32,0.0,0.547,0.405,0.0,0.495,0.679,0.658
Al Horford,A. Horford,2017-18,0.0,0.851,0.168,0.62,0.757,0.837,0.337,0.0,0.108,0.085,0.679,0.749,0.382,0.944
Al Horford,A. Horford,2018-19,0.965,0.544,0.988,0.386,0.416,0.57,0.67,0.0,0.188,0.468,0.0,0.63,0.642,0.76
Al Horford,A. Horford,2019-20,0.01,0.718,0.98,0.654,0.455,0.692,0.566,0.0,0.346,0.379,0.0,0.433,0.406,0.367
Al Horford,A. Horford,2020-21,0.0,0.026,0.0,0.392,0.068,0.588,0.0,0.0,0.443,0.0,0.0,0.269,0.563,0.796
Al Horford,A. Horford,2021-22,0.08,0.373,0.243,0.641,0.647,0.428,0.588,0.0,0.192,0.0,0.0,0.253,0.757,0.721
Al Horford,A. Horford,2022-23,0.389,0.179,0.293,0.265,0.708,0.952,0.32,0.0,0.393,0.903,0.0,0.586,0.198,0.953
Al Horford,A. Horford,2023-24,0.185,0.647,0.0,0.654,0.254,0.605,0.867,0.0,0.332,0.99,0.0,0.454,0.927,0.933
Al Horford,A. Horford,2024-25,0.163,0.174,0.195,0.578,0.775,0.925,0.527,0.0,0.511,0.0,0.0,0.29,0.446,0.0
