GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SeasonYear,Player1,Player2,Player3,Player4,Player5
Lineups,-200826-201599-203084-1627827-1629029-,J. Barea - D. Jordan - H. Barnes - D. Finney-Smith - L. Doncic,1610612742,DAL,19,12,7,0.632,48.0,130.1,124.5,111.3,105.0,18.8,19.5,0.6,3.0,17.3,0.289,0.684,0.51,0.078,0.555,0.638,96.9,101.96,84.97,102,0.634,95,79,14568,5580,353,3848,8225,4648,5782,788,5610,5101,7709,5417,6834,5288,4459,9911,4509,2018-19,J. Barea,D. Jordan,H. Barnes,D. Finney-Smith,L. Doncic
Lineups,-203939-1628382-1628467-1628973-1629029-,D. Powell - J. Jackson - M. Kleber - J. Brunson - L. Doncic,1610612742,DAL,7,2,5,0.286,41.0,115.1,111.9,123.6,125.0,-8.5,-13.1,0.438,1.75,13.0,0.25,0.649,0.432,0.095,0.514,0.568,98.4,99.18,82.65,84,0.422,815,1800,14236,8451,433,5210,10281,8745,8706,2964,8052,5610,8847,8954,7310,6001,6111,11113,8111,2018-19,D. Powell,J. Jackson,M. Kleber,J. Brunson,L. Doncic
Lineups,-200826-201599-202083-203084-1629029-,J. Barea - D. Jordan - W. Matthews - H. Barnes - L. Doncic,1610612742,DAL,16,6,10,0.375,41.0,124.4,121.1,104.3,100.0,20.1,21.1,0.561,2.56,18.0,0.282,0.868,0.571,0.095,0.588,0.629,105.1,108.75,90.63,95,0.653,152,398,14745,7819,430,4112,6083,4472,6474,1426,5348,5347,4536,3960,7307,4589,4620,6959,4238,2018-19,J. Barea,D. Jordan,W. Matthews,H. Barnes,L. Doncic
Lineups,-1717-203939-1628382-1628973-1629029-,D. Nowitzki - D. Powell - J. Jackson - J. Brunson - L. Doncic,1610612742,DAL,6,2,4,0.333,40.0,104.9,106.0,118.5,116.9,-13.6,-10.9,0.75,3.0,22.3,0.233,0.773,0.506,0.107,0.532,0.537,99.4,99.63,83.03,84,0.497,1012,1800,13862,7873,438,5874,9659,8595,3578,788,3020,6416,5966,5458,7718,5739,6962,10915,6894,2018-19,D. Nowitzki,D. Powell,J. Jackson,J. Brunson,L. Doncic
Lineups,-203939-1627827-1628467-1628973-1629029-,D. Powell - D. Finney-Smith - M. Kleber - J. Brunson - L. Doncic,1610612742,DAL,7,3,4,0.429,32.0,117.6,117.5,122.8,126.6,-5.2,-9.1,0.481,1.18,14.9,0.393,0.769,0.574,0.175,0.594,0.607,97.3,95.88,79.9,63,0.429,815,1124,13862,7605,594,4526,10665,8458,8514,4071,6989,3231,5988,3953,10593,4501,5179,12331,7963,2018-19,D. Powell,D. Finney-Smith,M. Kleber,J. Brunson,L. Doncic
Lineups,-203084-1627827-1628467-1628973-1629029-,H. Barnes - D. Finney-Smith - M. Kleber - J. Brunson - L. Doncic,1610612742,DAL,5,3,2,0.6,32.0,100.9,98.6,92.1,88.9,8.8,9.7,0.48,1.33,13.3,0.273,0.761,0.557,0.129,0.466,0.52,103.7,106.8,89.0,70,0.565,1332,1124,11164,5636,591,8007,5258,5508,8519,3768,7849,5404,6105,4403,8725,8044,7432,7732,5527,2018-19,H. Barnes,D. Finney-Smith,M. Kleber,J. Brunson,L. Doncic
Lineups,-201599-203084-1627827-1628973-1629029-,D. Jordan - H. Barnes - D. Finney-Smith - J. Brunson - L. Doncic,1610612742,DAL,7,2,5,0.286,29.0,99.3,101.6,110.2,108.3,-10.9,-6.7,0.526,0.91,11.6,0.417,0.846,0.597,0.18,0.406,0.481,99.1,98.78,82.32,61,0.443,815,1800,14236,8451,675,6166,8564,8264,6715,5890,8650,2849,4760,3684,10706,9053,8999,11270,7777,2018-19,D. Jordan,H. Barnes,D. Finney-Smith,J. Brunson,L. Doncic
Lineups,-1717-2734-203939-1628382-1629029-,D. Nowitzki - D. Harris - D. Powell - J. Jackson - L. Doncic,1610612742,DAL,6,2,4,0.333,29.0,122.3,117.2,106.9,106.8,15.5,10.5,0.75,2.57,20.2,0.371,0.852,0.581,0.121,0.518,0.552,94.6,96.64,80.54,58,0.529,1012,1800,13862,7873,690,4539,8414,5422,3578,1417,3764,3421,4750,3888,8317,5944,6650,12007,6141,2018-19,D. Nowitzki,D. Harris,D. Powell,J. Jackson,L. Doncic
Lineups,-203501-203939-1628467-1628973-1629029-,T. Hardaway Jr. - D. Powell - M. Kleber - J. Brunson - L. Doncic,1610612742,DAL,7,1,6,0.143,29.0,124.9,119.7,79.1,74.2,45.8,45.5,0.593,1.78,17.8,0.276,0.813,0.557,0.136,0.625,0.645,99.7,105.07,87.56,66,0.809,815,3297,14447,8830,682,4353,3935,2859,6174,2952,5408,5387,5214,4400,8958,3781,4288,8514,2733,2018-19,T. Hardaway Jr.,D. Powell,M. Kleber,J. Brunson,L. Doncic
Lineups,-1717-2734-203939-1627827-1629029-,D. Nowitzki - D. Harris - D. Powell - D. Finney-Smith - L. Doncic,1610612742,DAL,9,2,7,0.222,27.0,89.9,86.4,120.7,114.0,-30.8,-27.6,0.611,1.1,13.4,0.343,0.625,0.458,0.169,0.412,0.45,96.7,101.48,84.57,59,0.328,529,1800,14568,8709,743,8941,9223,9917,5737,4154,7846,3606,8999,8409,10516,8940,9532,10130,9528,2018-19,D. Nowitzki,D. Harris,D. Powell,D. Finney-Smith,L. Doncic
