GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SeasonYear,Player1,Player2,Player3,Player4,Player5
Lineups,-2544-2747-201567-202681-203521-,L. James - J. Smith - K. Love - K. Irving - M. Dellavedova,1610612739,CLE,15,9,6,0.6,39.0,126.8,124.2,111.6,98.7,15.2,25.5,0.629,2.0,17.2,0.366,0.765,0.547,0.116,0.568,0.648,99.5,106.32,88.6,95,0.64,274,224,12211,4818,476,2857,5770,3459,4431,1395,4467,3193,5069,4060,6522,3880,3249,5363,3961,2015-16,L. James,J. Smith,K. Love,K. Irving,M. Dellavedova
Lineups,-2544-2590-2747-201567-202684-,L. James - M. Williams - J. Smith - K. Love - T. Thompson,1610612739,CLE,12,5,7,0.417,38.0,110.5,108.9,108.4,105.1,2.1,3.8,0.621,1.38,17.0,0.265,0.824,0.544,0.165,0.54,0.599,96.8,99.12,82.6,79,0.495,404,630,12379,6735,496,4247,7625,5163,4558,3072,4524,5039,4219,4174,8244,4363,4203,8038,6124,2015-16,L. James,M. Williams,J. Smith,K. Love,T. Thompson
Lineups,-2210-2544-2590-201567-202389-,R. Jefferson - L. James - M. Williams - K. Love - T. Mozgov,1610612739,CLE,7,7,0,1.0,38.0,93.6,89.7,127.1,130.1,-33.6,-40.4,0.72,1.8,17.0,0.244,0.714,0.461,0.128,0.438,0.481,93.6,94.54,78.78,78,0.338,993,364,1,1,494,7092,9833,9393,3231,2280,4524,5721,6069,7248,7040,6968,7473,9743,7971,2015-16,R. Jefferson,L. James,M. Williams,K. Love,T. Mozgov
Lineups,-2544-2747-202681-202684-202697-,L. James - J. Smith - K. Irving - T. Thompson - I. Shumpert,1610612739,CLE,13,10,3,0.769,36.0,111.5,108.2,121.1,116.7,-9.7,-8.4,0.346,1.5,9.6,0.333,0.794,0.548,0.082,0.452,0.528,98.5,101.85,84.88,73,0.449,352,180,10862,3986,553,4320,8663,7227,7768,2662,7864,3357,4737,4048,5428,6752,5878,6947,6652,2015-16,L. James,J. Smith,K. Irving,T. Thompson,I. Shumpert
Lineups,-2544-101112-202684-202697-203521-,L. James - C. Frye - T. Thompson - I. Shumpert - M. Dellavedova,1610612739,CLE,12,8,4,0.667,35.0,124.6,118.2,77.7,71.1,46.9,47.1,0.667,2.0,19.6,0.382,0.66,0.548,0.143,0.598,0.623,96.9,103.98,86.65,77,0.8,404,276,11570,4314,558,3305,3362,2339,3528,1395,3606,3041,7506,4050,7396,3473,3747,6154,2484,2015-16,L. James,C. Frye,T. Thompson,I. Shumpert,M. Dellavedova
Lineups,-2544-2747-201567-202697-203521-,L. James - J. Smith - K. Love - I. Shumpert - M. Dellavedova,1610612739,CLE,11,8,3,0.727,29.0,134.6,130.2,85.2,80.3,49.4,49.8,0.677,2.33,22.3,0.4,0.714,0.583,0.143,0.683,0.684,98.2,102.84,85.7,63,0.75,482,276,10862,4199,703,2374,4217,2291,3509,1218,2279,2685,6069,3285,7396,2212,2715,6643,2822,2015-16,L. James,J. Smith,K. Love,I. Shumpert,M. Dellavedova
Lineups,-2544-201567-202389-202681-202697-,L. James - K. Love - T. Mozgov - K. Irving - I. Shumpert,1610612739,CLE,7,6,1,0.857,28.0,107.2,103.6,101.7,101.8,5.5,1.8,0.609,1.27,18.7,0.238,0.788,0.574,0.196,0.593,0.629,93.4,95.04,79.2,56,0.534,993,483,3764,3810,725,4703,7416,5302,4634,3289,3865,5749,4780,3430,9245,3502,3579,9573,5377,2015-16,L. James,K. Love,T. Mozgov,K. Irving,I. Shumpert
Lineups,-2210-2544-202684-202697-203521-,R. Jefferson - L. James - T. Thompson - I. Shumpert - M. Dellavedova,1610612739,CLE,10,6,4,0.6,28.0,115.1,118.2,107.2,101.7,7.9,16.5,0.609,2.0,18.7,0.304,0.864,0.578,0.127,0.589,0.619,96.6,97.88,81.57,55,0.599,566,483,11570,4818,743,3305,7414,4238,4634,1395,3865,4469,3748,3404,7019,3547,3809,8507,4490,2015-16,R. Jefferson,L. James,T. Thompson,I. Shumpert,M. Dellavedova
Lineups,-2544-2747-202389-202681-202684-,L. James - J. Smith - T. Mozgov - K. Irving - T. Thompson,1610612739,CLE,7,6,1,0.857,27.0,105.1,107.8,114.8,107.5,-9.7,0.3,0.739,1.89,21.3,0.429,0.652,0.529,0.176,0.54,0.536,89.4,91.21,76.0,51,0.483,993,483,3764,3810,753,4340,7832,5384,3161,2211,2681,2484,7528,4443,8838,4359,5608,10706,6240,2015-16,L. James,J. Smith,T. Mozgov,K. Irving,T. Thompson
Lineups,-2544-2590-201567-202389-203521-,L. James - M. Williams - K. Love - T. Mozgov - M. Dellavedova,1610612739,CLE,8,6,2,0.75,27.0,110.8,109.3,113.0,108.9,-2.2,0.3,0.722,2.6,17.8,0.231,0.704,0.472,0.093,0.488,0.576,94.6,97.08,80.9,54,0.505,828,483,9128,3996,759,4178,7964,5383,3219,1034,4232,5793,6336,6973,5757,6284,4679,8818,5761,2015-16,L. James,M. Williams,K. Love,T. Mozgov,M. Dellavedova
